Clean_Sample	Sample	Length
p13.H10	Seq550_p13.H10	280
p21.H3	Seq535_p21.H3	280
p9.G6	Seq843_p9.G6	280
p25.D3	Seq1153_p25.D3	280
p4.D9	Seq45_p4.D9	280
p3.C9	Seq323_p3.C9	280
p21.F3	Seq505_p21.F3	280
p22.A7	Seq1061_p22.A7	280
p13.D2	Seq218_p13.D2	280
p12.C8	Seq342_p12.C8	280
p26.D4	Seq988_p26.D4	280
p6.D8	Seq502_p6.D8	280
p11.C11	Seq1289_p11.C11	280
p7.C2	Seq1002_p7.C2	280
p6.D6	Seq1227_p6.D6	280
p26.E4	Seq3_p26.E4	280
p2.D7	Seq983_p2.D7	280
p22.B5	Seq233_p22.B5	280
p26.B5	Seq211_p26.B5	280
p26.C5	Seq597_p26.C5	280
p22.G5	Seq1129_p22.G5	280
p9.H5	Seq271_p9.H5	280
p22.E4	Seq920_p22.E4	280
p5.G7	Seq1000_p5.G7	280
p6.E6	Seq61_p6.E6	280
p26.C4	Seq1340_p26.C4	280
p7.G6	Seq98_p7.G6	280
p25.G3	Seq1359_p25.G3	280
p2.E9	Seq296_p2.E9	280
p7.B4	Seq1331_p7.B4	280
p5.D3	Seq412_p5.D3	280
p2.E8	Seq105_p2.E8	280
p1.C2	Seq1010_p1.C2	280
p1.D3	Seq892_p1.D3	280
p7.D10	Seq70_p7.D10	280
p11.D8	Seq128_p11.D8	280
p22.G4	Seq114_p22.G4	280
p5.C3	Seq828_p5.C3	280
p21.B3	Seq876_p21.B3	280
p13.D1	Seq236_p13.D1	280
p5.H6	Seq194_p5.H6	280
p21.D3	Seq40_p21.D3	280
p21.A3	Seq1327_p21.A3	280
p6.E7	Seq479_p6.E7	280
p13.C2	Seq1006_p13.C2	280
p12.H5	Seq213_p12.H5	280
p11.E7	Seq15_p11.E7	280
p12.C9	Seq457_p12.C9	280
p22.D5	NA	0
p22.D7	NA	0
p4.E5	Seq193_p4.E5	280
p3.H2	Seq384_p3.H2	526
p7.H3	Seq719_p7.H3	526
p9.G3	Seq939_p9.G3	526
p7.G3	Seq425_p7.G3	526
p7.G2	Seq475_p7.G2	526
p12.H2	Seq785_p12.H2	526
p1.G2	Seq802_p1.G2	526
p5.H2	Seq397_p5.H2	526
p3.G3	Seq854_p3.G3	526
p1.H3	Seq555_p1.H3	526
p9.G2	Seq1332_p9.G2	526
p26.A10	Seq404_p26.A10	526
p27.H5	Seq184_p27.H5	526
p23.C8	Seq538_p23.C8	526
p23.D2	Seq1228_p23.D2	526
p20.E8	Seq147_p20.E8	526
p24.H8	Seq666_p24.H8	526
p20.D8	Seq1027_p20.D8	526
p24.D8	Seq559_p24.D8	526
p24.G8	Seq1045_p24.G8	526
p20.F8	Seq693_p20.F8	526
p24.B8	Seq17_p24.B8	526
p24.E8	Seq776_p24.E8	526
p20.B8	Seq591_p20.B8	526
p20.A8	Seq170_p20.A8	526
p24.F8	Seq121_p24.F8	526
p20.G8	Seq1024_p20.G8	526
p24.A8	Seq115_p24.A8	526
p20.H8	Seq429_p20.H8	526
p24.C8	Seq1053_p24.C8	526
p22.C1	Seq1042_p22.C1	280
p23.H6	Seq568_p23.H6	526
p27.H4	Seq763_p27.H4	526
p8.G6	Seq1155_p8.G6	526
p23.G2	Seq1355_p23.G2	526
p23.E2	Seq375_p23.E2	526
p23.C7	Seq451_p23.C7	526
p26.G10	Seq759_p26.G10	526
p23.B7	Seq702_p23.B7	526
p23.E7	Seq1255_p23.E7	526
p26.G7	Seq978_p26.G7	526
p27.B2	Seq331_p27.B2	526
p23.D6	Seq491_p23.D6	526
p23.A8	Seq484_p23.A8	526
p23.G6	Seq1273_p23.G6	526
p23.F2	Seq41_p23.F2	526
p27.B3	Seq1149_p27.B3	526
p26.F8	Seq1123_p26.F8	526
p23.H2	Seq703_p23.H2	526
p27.B1	Seq1190_p27.B1	526
p23.F6	Seq52_p23.F6	526
p27.F2	Seq709_p27.F2	526
p27.G3	Seq314_p27.G3	526
p26.G9	Seq351_p26.G9	526
p12.H10	Seq43_p12.H10	526
p5.G8	Seq163_p5.G8	526
p5.C2	Seq830_p5.C2	526
p12.H8	Seq84_p12.H8	526
p9.E1	Seq927_p9.E1	526
p5.E1	Seq995_p5.E1	526
p3.H9	Seq615_p3.H9	526
p9.C3	Seq1047_p9.C3	526
p3.C1	Seq212_p3.C1	526
p3.G8	Seq891_p3.G8	526
p7.D1	Seq818_p7.D1	526
p12.F1	Seq148_p12.F1	526
p7.D12	Seq1154_p7.D12	526
p4.A11	Seq1066_p4.A11	526
p6.C1	Seq887_p6.C1	526
p2.B1	Seq444_p2.B1	526
p6.B1	Seq519_p6.B1	526
p6.A11	Seq1274_p6.A11	526
p8.A10	Seq325_p8.A10	526
p11.A10	Seq654_p11.A10	526
p6.H11	Seq383_p6.H11	526
p4.B1	Seq50_p4.B1	526
p8.A11	Seq493_p8.A11	526
p2.C1	Seq879_p2.C1	526
p8.C1	Seq796_p8.C1	526
p23.B3	Seq1221_p23.B3	526
p1.C1	Seq349_p1.C1	526
p5.D1	Seq175_p5.D1	526
p25.F10	Seq865_p25.F10	526
p1.F12	Seq700_p1.F12	526
p6.H9	Seq12_p6.H9	526
p21.F10	Seq438_p21.F10	526
p25.A10	Seq1139_p25.A10	526
p13.C12	Seq722_p13.C12	526
p25.H10	Seq135_p25.H10	526
p25.D10	Seq65_p25.D10	526
p2.A9	Seq179_p2.A9	526
p21.E10	Seq822_p21.E10	526
p21.C10	Seq873_p21.C10	526
p25.C10	Seq738_p25.C10	526
p21.H10	Seq637_p21.H10	526
p25.G10	Seq585_p25.G10	526
p21.G10	Seq6_p21.G10	526
p25.E10	Seq955_p25.E10	526
p25.B10	Seq1133_p25.B10	526
p21.D10	Seq701_p21.D10	526
p21.A10	Seq919_p21.A10	526
p21.B10	Seq1028_p21.B10	526
p8.E5	Seq695_p8.E5	526
p25.F12	Seq281_p25.F12	280
p21.F12	Seq1287_p21.F12	280
p25.G12	Seq699_p25.G12	280
p21.C12	Seq690_p21.C12	280
p25.E12	Seq228_p25.E12	280
p2.D3	Seq1293_p2.D3	280
p25.H12	Seq246_p25.H12	280
p21.B12	Seq784_p21.B12	280
p13.G1	Seq1095_p13.G1	280
p9.E6	Seq1070_p9.E6	280
p25.D12	Seq1157_p25.D12	280
p21.H12	Seq319_p21.H12	280
p21.G12	Seq619_p21.G12	280
p21.E12	Seq409_p21.E12	280
p25.C12	Seq630_p25.C12	280
p21.A12	Seq713_p21.A12	280
p8.E4	Seq90_p8.E4	280
p25.B12	Seq674_p25.B12	280
p25.A12	NA	0
p11.H8	Seq922_p11.H8	280
p11.G8	Seq388_p11.G8	280
p26.B7	Seq1069_p26.B7	280
p12.E2	Seq482_p12.E2	280
p7.F9	Seq1055_p7.F9	280
p13.E2	Seq874_p13.E2	280
p4.H9	Seq125_p4.H9	526
p6.D1	Seq463_p6.D1	280
p2.D1	Seq586_p2.D1	280
p9.C12	Seq528_p9.C12	526
p6.A7	Seq366_p6.A7	526
p13.C11	Seq27_p13.C11	526
p1.E7	Seq531_p1.E7	526
p6.H1	Seq798_p6.H1	526
p11.G11	Seq64_p11.G11	526
p9.G12	Seq682_p9.G12	403
p4.D2	Seq1025_p4.D2	403
p23.C3	Seq517_p23.C3	526
p23.D3	Seq1238_p23.D3	526
p13.D10	Seq1240_p13.D10	280
p9.D3	Seq901_p9.D3	280
p22.B8	Seq1038_p22.B8	526
p22.F7	Seq602_p22.F7	526
p26.A9	Seq673_p26.A9	526
p22.C8	Seq1358_p22.C8	526
p22.G7	Seq167_p22.G7	526
p24.B5	Seq1009_p24.B5	526
p7.E7	Seq1145_p7.E7	526
p22.E7	Seq1318_p22.E7	526
p22.D8	NA	0
p7.G11	Seq1081_p7.G11	280
p4.A1	Seq408_p4.A1	280
p2.A1	Seq346_p2.A1	280
p5.G12	Seq497_p5.G12	280
p5.G11	Seq11_p5.G11	280
p4.A2	Seq577_p4.A2	280
p5.H11	Seq852_p5.H11	280
p8.A1	Seq423_p8.A1	280
p9.G10	Seq643_p9.G10	280
p7.H11	Seq848_p7.H11	280
p3.B12	Seq726_p3.B12	280
p3.C12	Seq749_p3.C12	280
p2.A2	Seq470_p2.A2	280
p6.A1	Seq900_p6.A1	280
p13.H11	Seq274_p13.H11	280
p1.H9	Seq795_p1.H9	280
p7.H10	Seq1099_p7.H10	280
p1.D6	Seq504_p1.D6	280
p9.F8	Seq86_p9.F8	280
p11.A1	Seq71_p11.A1	280
p21.D1	Seq1361_p21.D1	526
p2.B10	Seq253_p2.B10	526
p21.H1	Seq590_p21.H1	526
p1.F9	Seq107_p1.F9	526
p8.C9	Seq48_p8.C9	526
p4.B10	Seq1040_p4.B10	526
p4.B11	Seq1352_p4.B11	526
p21.G1	Seq317_p21.G1	526
p7.C3	Seq143_p7.C3	526
p21.A1	Seq1134_p21.A1	526
p25.G1	Seq307_p25.G1	526
p21.B1	Seq513_p21.B1	526
p7.D4	Seq1290_p7.D4	526
p11.C9	Seq681_p11.C9	526
p5.E9	Seq581_p5.E9	526
p2.C10	Seq895_p2.C10	526
p11.B10	Seq903_p11.B10	526
p13.E9	Seq547_p13.E9	526
p13.F8	Seq432_p13.F8	526
p25.E1	Seq790_p25.E1	526
p21.E1	Seq1094_p21.E1	526
p5.D4	Seq1159_p5.D4	526
p25.H1	Seq1330_p25.H1	526
p6.C10	Seq653_p6.C10	526
p12.E9	Seq2_p12.E9	526
p8.D2	Seq244_p8.D2	526
p3.E9	Seq691_p3.E9	526
p6.E2	Seq400_p6.E2	526
p5.F9	Seq889_p5.F9	526
p9.F9	Seq1054_p9.F9	526
p11.E2	Seq487_p11.E2	526
p12.F9	Seq621_p12.F9	526
p13.E8	Seq1235_p13.E8	526
p12.E8	Seq288_p12.E8	526
p11.D2	Seq329_p11.D2	526
p25.D1	Seq541_p25.D1	526
p3.F8	Seq1192_p3.F8	526
p8.E2	Seq298_p8.E2	526
p9.E9	Seq826_p9.E9	526
p5.F8	Seq85_p5.F8	526
p3.E10	Seq1325_p3.E10	526
p22.H2	Seq241_p22.H2	526
p26.H2	Seq542_p26.H2	526
p26.C2	Seq51_p26.C2	526
p22.F2	Seq1375_p22.F2	526
p26.B2	Seq823_p26.B2	526
p26.A2	Seq834_p26.A2	526
p22.G2	Seq739_p22.G2	526
p22.C2	Seq1218_p22.C2	526
p26.E2	Seq1271_p26.E2	526
p22.E2	Seq243_p22.E2	526
p22.A2	Seq9_p22.A2	526
p22.B2	Seq364_p22.B2	526
p26.F2	Seq971_p26.F2	526
p26.G2	Seq583_p26.G2	526
p22.D2	NA	0
p26.D2	Seq833_p26.D2	526
p6.B2	Seq1323_p6.B2	280
p4.B9	Seq650_p4.B9	526
p4.B8	Seq156_p4.B8	526
p26.G6	Seq1251_p26.G6	526
p8.B7	Seq675_p8.B7	526
p2.B8	Seq546_p2.B8	526
p12.C3	Seq1011_p12.C3	526
p6.B9	Seq106_p6.B9	526
p22.C4	Seq783_p22.C4	526
p26.C7	Seq1371_p26.C7	526
p3.D4	Seq202_p3.D4	526
p22.G3	Seq310_p22.G3	526
p2.B4	Seq888_p2.B4	526
p13.D3	Seq345_p13.D3	526
p8.C8	Seq492_p8.C8	526
p2.B9	Seq55_p2.B9	526
p26.B4	Seq1148_p26.B4	526
p1.D4	Seq88_p1.D4	526
p2.C8	Seq1003_p2.C8	526
p11.C8	Seq924_p11.C8	526
p13.C3	Seq965_p13.C3	526
p1.C4	Seq68_p1.C4	526
p12.D2	Seq989_p12.D2	526
p3.C4	Seq1074_p3.C4	526
p6.C9	Seq1076_p6.C9	526
p6.C8	Seq33_p6.C8	526
p26.C3	Seq443_p26.C3	526
p26.H6	Seq89_p26.H6	526
p26.D6	Seq127_p26.D6	526
p11.C3	Seq1326_p11.C3	526
p22.D4	Seq415_p22.D4	526
p3.C8	Seq1048_p3.C8	526
p3.D8	Seq60_p3.D8	526
p23.H9	Seq660_p23.H9	526
p23.G1	Seq518_p23.G1	526
p27.B6	Seq1064_p27.B6	526
p23.H5	Seq522_p23.H5	526
p27.A2	Seq751_p27.A2	526
p23.H1	Seq1161_p23.H1	526
p27.F5	Seq341_p27.F5	526
p23.B9	Seq948_p23.B9	526
p27.A1	Seq972_p27.A1	526
p27.F6	Seq1132_p27.F6	526
p23.E6	Seq118_p23.E6	526
p23.F5	Seq75_p23.F5	526
p23.E1	Seq1092_p23.E1	526
p27.A3	Seq1168_p27.A3	526
p23.F1	Seq629_p23.F1	526
p27.B4	Seq240_p27.B4	526
p23.D9	Seq174_p23.D9	526
p27.B7	Seq417_p27.B7	526
p27.E2	Seq647_p27.E2	526
p27.E1	Seq478_p27.E1	526
p27.F4	Seq79_p27.F4	526
p27.F3	Seq155_p27.F3	526
p23.G5	Seq1137_p23.G5	526
p23.D7	NA	0
p1.C8	Seq580_p1.C8	526
p9.D7	Seq461_p9.D7	526
p4.C10	Seq563_p4.C10	526
p2.H8	Seq841_p2.H8	280
p6.G8	Seq718_p6.G8	280
p2.G8	Seq639_p2.G8	280
p8.G7	Seq427_p8.G7	280
p11.H7	Seq997_p11.H7	280
p4.G9	Seq287_p4.G9	280
p4.G4	Seq688_p4.G4	280
p4.H8	Seq421_p4.H8	280
p11.G7	Seq1033_p11.G7	280
p6.G9	Seq716_p6.G9	280
p11.H4	Seq476_p11.H4	280
p2.H7	Seq728_p2.H7	280
p2.G7	Seq537_p2.G7	280
p23.A9	Seq1225_p23.A9	526
p23.C2	Seq1219_p23.C2	526
p27.D5	Seq67_p27.D5	526
p26.E8	Seq1077_p26.E8	526
p26.F10	Seq473_p26.F10	526
p26.E9	Seq845_p26.E9	526
p23.C5	Seq970_p23.C5	526
p23.B8	Seq289_p23.B8	526
p27.E6	Seq34_p27.E6	526
p23.D5	Seq551_p23.D5	526
p23.D4	Seq306_p23.D4	526
p26.D7	Seq402_p26.D7	526
p23.C4	Seq850_p23.C4	526
p23.C9	Seq767_p23.C9	526
p23.B5	Seq1195_p23.B5	526
p23.E9	Seq1017_p23.E9	526
p23.G9	Seq799_p23.G9	526
p26.E7	Seq1088_p26.E7	526
p26.D8	Seq276_p26.D8	526
p23.A7	Seq706_p23.A7	526
p27.A6	Seq1220_p27.A6	526
p23.B6	Seq856_p23.B6	526
p27.A7	Seq1245_p27.A7	526
p27.E5	Seq1060_p27.E5	526
p23.A6	Seq66_p23.A6	526
p26.E10	Seq201_p26.E10	526
p26.F9	NA	0
p23.A3	Seq712_p23.A3	526
p7.C5	Seq465_p7.C5	280
p9.C5	Seq648_p9.C5	280
p9.C6	Seq1031_p9.C6	280
p1.D7	Seq1338_p1.D7	280
p13.C6	Seq523_p13.C6	280
p5.D5	Seq1201_p5.D5	280
p1.B6	Seq961_p1.B6	280
p1.B5	Seq355_p1.B5	280
p12.C6	Seq28_p12.C6	280
p7.C4	Seq872_p7.C4	280
p12.A5	Seq13_p12.A5	280
p1.A5	Seq631_p1.A5	280
p3.D6	Seq406_p3.D6	280
p9.A5	Seq30_p9.A5	280
p1.C6	Seq94_p1.C6	280
p7.D5	Seq1314_p7.D5	280
p5.B5	Seq239_p5.B5	280
p13.A4	Seq904_p13.A4	280
p5.C5	Seq352_p5.C5	280
p13.D7	Seq1116_p13.D7	280
p3.B5	Seq665_p3.B5	280
p9.B5	Seq4_p9.B5	280
p5.D6	Seq1189_p5.D6	280
p7.D6	Seq811_p7.D6	280
p5.C6	Seq1130_p5.C6	280
p9.D6	Seq450_p9.D6	280
p13.D6	Seq1342_p13.D6	280
p12.B5	Seq696_p12.B5	280
p12.D5	Seq1051_p12.D5	280
p3.A5	Seq245_p3.A5	280
p9.D5	Seq941_p9.D5	280
p13.C5	Seq627_p13.C5	280
p9.E5	Seq725_p9.E5	280
p3.C6	Seq1118_p3.C6	280
p7.B5	Seq293_p7.B5	280
p7.A5	Seq467_p7.A5	280
p1.C7	Seq1067_p1.C7	280
p12.D6	Seq119_p12.D6	280
p12.C5	Seq667_p12.C5	280
p7.E8	Seq210_p7.E8	280
p9.C7	Seq200_p9.C7	280
p11.C10	Seq543_p11.C10	280
p1.C9	Seq999_p1.C9	280
p20.E7	Seq1282_p20.E7	280
p12.C7	Seq24_p12.C7	280
p11.B9	Seq632_p11.B9	280
p13.D8	Seq808_p13.D8	280
p8.B9	Seq869_p8.B9	280
p25.A1	Seq765_p25.A1	280
p13.C7	Seq705_p13.C7	280
p5.F11	Seq390_p5.F11	280
p5.E10	Seq1172_p5.E10	280
p5.C7	Seq1348_p5.C7	280
p8.B8	Seq250_p8.B8	280
p25.F1	Seq485_p25.F1	280
p6.D2	Seq313_p6.D2	280
p6.B11	Seq1309_p6.B11	280
p4.C11	Seq730_p4.C11	280
p21.C1	Seq268_p21.C1	280
p25.C1	Seq816_p25.C1	280
p1.F10	Seq862_p1.F10	280
p21.F1	Seq1207_p21.F1	280
p5.D7	Seq1281_p5.D7	280
p7.C6	Seq1170_p7.C6	280
p1.D9	Seq269_p1.D9	280
p6.C11	Seq735_p6.C11	280
p11.A3	Seq69_p11.A3	280
p7.D7	Seq234_p7.D7	280
p24.E7	Seq1252_p24.E7	280
p11.A2	Seq644_p11.A2	280
p13.H12	Seq1044_p13.H12	280
p9.A8	Seq582_p9.A8	526
p1.B9	Seq1039_p1.B9	526
p5.A8	Seq447_p5.A8	526
p7.B8	Seq109_p7.B8	526
p12.B7	Seq556_p12.B7	526
p13.A8	Seq741_p13.A8	526
p1.A9	Seq1174_p1.A9	526
p9.B8	Seq704_p9.B8	526
p13.B8	Seq436_p13.B8	526
p1.A8	Seq587_p1.A8	526
p12.A7	Seq265_p12.A7	526
p7.A8	Seq525_p7.A8	526
p3.B8	Seq963_p3.B8	526
p5.B8	Seq1096_p5.B8	526
p12.A8	Seq1203_p12.A8	526
p12.B8	Seq18_p12.B8	526
p1.B8	Seq1115_p1.B8	526
p3.A8	Seq426_p3.A8	526
p13.B7	Seq1049_p13.B7	526
p6.F8	Seq635_p6.F8	280
p26.B8	Seq459_p26.B8	526
p3.B1	Seq1037_p3.B1	526
p12.B1	Seq496_p12.B1	526
p13.A1	Seq360_p13.A1	526
p9.B2	Seq431_p9.B2	526
p13.B1	Seq620_p13.B1	526
p2.C5	Seq604_p2.C5	526
p9.A2	Seq975_p9.A2	526
p3.E4	Seq1298_p3.E4	526
p5.A2	Seq757_p5.A2	526
p13.A2	Seq976_p13.A2	526
p7.A1	Seq405_p7.A1	526
p1.B1	Seq225_p1.B1	526
p5.A1	Seq81_p5.A1	526
p3.B2	Seq788_p3.B2	526
p9.B1	Seq1001_p9.B1	526
p12.B2	Seq598_p12.B2	526
p7.B1	Seq545_p7.B1	526
p3.A2	Seq1367_p3.A2	526
p7.A2	Seq1275_p7.A2	526
p7.B2	Seq141_p7.B2	526
p12.A1	Seq915_p12.A1	526
p1.A2	Seq885_p1.A2	526
p12.A2	Seq595_p12.A2	526
p5.B2	Seq1269_p5.B2	526
p3.A1	Seq1308_p3.A1	526
p1.B2	Seq825_p1.B2	526
p5.B1	Seq1089_p5.B1	526
p9.A1	Seq832_p9.A1	526
p13.B2	Seq136_p13.B2	526
p1.D8	Seq391_p1.D8	526
p26.G3	Seq441_p26.G3	280
p26.A5	Seq117_p26.A5	280
p22.A4	Seq956_p22.A4	280
p26.E3	Seq1374_p26.E3	280
p22.F3	Seq628_p22.F3	280
p22.H3	Seq858_p22.H3	280
p22.E3	Seq1018_p22.E3	280
p26.F3	Seq159_p26.F3	280
p22.B4	Seq489_p22.B4	280
p26.H3	Seq1169_p26.H3	280
p26.D3	Seq100_p26.D3	280
p25.H2	Seq123_p25.H2	280
p21.D2	Seq266_p21.D2	280
p21.F2	Seq378_p21.F2	280
p21.H2	Seq993_p21.H2	280
p25.G2	Seq416_p25.G2	280
p21.A2	Seq1012_p21.A2	280
p21.E2	Seq1117_p21.E2	280
p25.A2	Seq399_p25.A2	280
p3.E6	Seq357_p3.E6	526
p12.E5	Seq1283_p12.E5	526
p7.F5	Seq1278_p7.F5	526
p5.F5	Seq1250_p5.F5	526
p3.F6	Seq38_p3.F6	526
p11.G9	Seq180_p11.G9	280
p11.H9	Seq625_p11.H9	280
p12.H4	Seq894_p12.H4	526
p8.B6	Seq144_p8.B6	526
p6.B8	Seq1362_p6.B8	526
p2.D5	Seq781_p2.D5	526
p4.C8	Seq1356_p4.C8	526
p4.E4	Seq1126_p4.E4	526
p6.D5	Seq578_p6.D5	526
p8.C7	Seq260_p8.C7	526
p13.H3	Seq507_p13.H3	526
p11.B8	Seq804_p11.B8	526
p4.C9	Seq1093_p4.C9	526
p1.G4	Seq890_p1.G4	526
p9.G4	Seq984_p9.G4	526
p5.H4	Seq521_p5.H4	526
p7.G4	Seq1075_p7.G4	526
p5.G4	Seq1015_p5.G4	526
p9.H4	Seq462_p9.H4	526
p1.H4	Seq1178_p1.H4	526
p12.G4	Seq1259_p12.G4	526
p13.G4	Seq1180_p13.G4	526
p13.G3	Seq544_p13.G3	526
p13.H2	Seq498_p13.H2	526
p7.H4	Seq449_p7.H4	526
p3.G4	Seq820_p3.G4	526
p20.F5	Seq16_p20.F5	526
p12.B10	Seq63_p12.B10	526
p20.A5	Seq140_p20.A5	526
p5.A10	Seq1305_p5.A10	526
p7.A11	Seq508_p7.A11	526
p20.G5	Seq957_p20.G5	526
p24.H5	Seq764_p24.H5	526
p24.D5	Seq1378_p24.D5	526
p24.C5	Seq592_p24.C5	526
p9.A10	Seq540_p9.A10	526
p24.G5	Seq270_p24.G5	526
p12.A10	Seq1147_p12.A10	526
p20.D5	Seq303_p20.D5	526
p20.E5	Seq1334_p20.E5	526
p24.F5	Seq1164_p24.F5	526
p5.B10	Seq1307_p5.B10	526
p20.B5	Seq152_p20.B5	526
p24.A5	Seq1194_p24.A5	526
p20.H5	Seq931_p20.H5	526
p9.B10	Seq987_p9.B10	526
p20.C5	Seq183_p20.C5	526
p24.E5	Seq817_p24.E5	526
p20.G7	Seq284_p20.G7	526
p5.E6	Seq330_p5.E6	526
p20.D7	Seq748_p20.D7	526
p13.F9	Seq1211_p13.F9	526
p20.H7	Seq558_p20.H7	526
p20.B7	Seq192_p20.B7	526
p24.B7	Seq1034_p24.B7	526
p20.C7	Seq150_p20.C7	526
p24.A7	Seq1345_p24.A7	526
p24.H7	Seq1262_p24.H7	526
p20.A7	Seq1241_p20.A7	526
p6.B10	Seq1087_p6.B10	526
p5.F6	Seq481_p5.F6	526
p24.C7	Seq1322_p24.C7	526
p24.G7	Seq991_p24.G7	526
p24.F7	Seq792_p24.F7	526
p24.H6	Seq453_p24.H6	526
p24.D7	Seq793_p24.D7	526
p11.H6	Seq1372_p11.H6	526
p11.H10	Seq237_p11.H10	526
p11.G10	Seq1156_p11.G10	526
p23.A2	Seq1333_p23.A2	526
p23.F9	Seq490_p23.F9	526
p23.B2	Seq209_p23.B2	280
p20.A2	Seq311_p20.A2	280
p4.F3	Seq768_p4.F3	280
p11.F2	Seq806_p11.F2	280
p2.F3	Seq430_p2.F3	280
p20.G2	Seq684_p20.G2	280
p6.D11	Seq320_p6.D11	280
p20.C2	Seq74_p20.C2	280
p24.G2	Seq1_p24.G2	280
p8.F1	Seq1265_p8.F1	280
p24.C2	Seq347_p24.C2	280
p20.F2	Seq455_p20.F2	280
p24.H2	Seq752_p24.H2	280
p20.B2	Seq153_p20.B2	280
p8.F2	Seq362_p8.F2	280
p2.F2	Seq960_p2.F2	280
p6.F2	Seq1337_p6.F2	280
p4.F1	Seq787_p4.F1	280
p20.E2	Seq129_p20.E2	280
p4.F2	Seq803_p4.F2	280
p20.H2	Seq1177_p20.H2	280
p20.D2	Seq610_p20.D2	280
p26.B3	Seq108_p26.B3	280
p12.B9	Seq1043_p12.B9	280
p26.H8	Seq652_p26.H8	280
p27.D6	Seq1127_p27.D6	280
p13.F3	Seq1294_p13.F3	280
p5.B9	Seq368_p5.B9	280
p3.B9	Seq779_p3.B9	280
p3.A9	Seq386_p3.A9	280
p5.A9	Seq609_p5.A9	280
p8.H7	Seq229_p8.H7	280
p2.B6	NA	0
p2.H1	NA	0
p8.H6	NA	0
p8.G1	NA	0
p4.H1	NA	0
p11.H5	NA	0
p4.G1	NA	0
p8.G4	NA	0
p2.G6	NA	0
p8.H1	NA	0
p11.H1	NA	0
p11.G1	NA	0
p11.G5	NA	0
p6.G1	NA	0
p8.G5	NA	0
p2.G5	NA	0
p2.H6	NA	0
p6.G2	NA	0
p8.H2	NA	0
p8.H5	NA	0
p4.H5	NA	0
p13.B4	NA	0
p5.A5	NA	0
p13.B5	NA	0
p23.E5	NA	0
p23.F4	NA	0
p23.D8	NA	0
p2.C11	NA	0
p26.C9	NA	0
p26.F7	NA	0
p26.C10	NA	0
p23.A4	NA	0
p1.E6	NA	0
p13.F5	NA	0
p2.C9	NA	0
p9.C4	NA	0
p9.D10	NA	0
p7.A9	NA	0
p8.H9	NA	0
p8.G8	NA	0
p4.B4	NA	0
p8.G2	NA	0
p23.C6	NA	0
p26.D9	NA	0
p23.B4	NA	0
p23.A5	NA	0
p4.G6	NA	0
p6.G6	NA	0
p4.H6	NA	0
p2.H2	NA	0
p2.G1	NA	0
p11.G2	NA	0
p11.H3	NA	0
p2.E4	NA	0
p11.C6	NA	0
p13.H9	NA	0
p13.G10	NA	0
p7.H9	NA	0
p9.H8	NA	0
p7.G9	NA	0
p9.H9	NA	0
p6.B4	NA	0
p6.C5	NA	0
p11.B5	NA	0
p6.C4	NA	0
p11.C5	NA	0
p2.B5	NA	0
p11.B4	NA	0
p4.B5	NA	0
p4.C5	NA	0
p12.F12	NA	0
p11.A4	NA	0
p6.H5	NA	0
p6.G3	NA	0
p2.C4	NA	0
p5.C4	NA	0
p3.C5	NA	0
p9.D4	NA	0
p3.D5	NA	0
p1.C5	NA	0
p9.H10	NA	0
p12.H9	NA	0
p23.H7	NA	0
p23.H3	NA	0
p23.G7	NA	0
p23.G3	NA	0
p27.C5	NA	0
p11.G3	NA	0
p13.D5	NA	0
p1.H8	NA	0
p11.F9	NA	0
p24.F10	NA	0
p20.B10	NA	0
p20.A10	NA	0
p24.G10	NA	0
p24.D10	NA	0
p24.A10	NA	0
p11.H11	NA	0
p11.F1	NA	0
p2.F1	NA	0
p12.H7	NA	0
p2.G10	NA	0
p4.G11	NA	0
p2.H10	NA	0
p4.H11	NA	0
p8.G10	NA	0
p4.H2	NA	0
p4.E3	NA	0
p2.D4	NA	0
p11.E3	NA	0
p11.E4	NA	0
p11.F7	NA	0
p11.F11	NA	0
p4.G2	NA	0
p2.D10	NA	0
p8.D10	NA	0
p6.D10	NA	0
p6.E9	NA	0
p2.G2	NA	0
p5.F2	NA	0
p8.G9	NA	0
p6.G10	NA	0
p2.H9	NA	0
p2.G9	NA	0
p4.H10	NA	0
p6.F1	NA	0
p4.D11	NA	0
p4.G3	NA	0
p11.D4	NA	0
p4.D4	NA	0
p11.D3	NA	0
p8.D4	NA	0
p8.D3	NA	0
p8.E3	NA	0
p12.A9	NA	0
p11.E11	NA	0
p11.A6	NA	0
p4.A7	NA	0
p3.G11	NA	0
p8.A8	NA	0
p1.G12	NA	0
p12.C11	NA	0
p4.A8	NA	0
p13.C10	NA	0
p13.D11	NA	0
p1.F1	NA	0
p7.E2	NA	0
p1.F2	NA	0
p3.E1	NA	0
p13.E1	NA	0
p13.F1	NA	0
p8.B4	NA	0
p4.C6	NA	0
p2.C6	NA	0
p8.C5	NA	0
p11.C7	NA	0
p11.B7	NA	0
p8.D11	NA	0
p8.H3	NA	0
p4.H3	NA	0
p26.F6	NA	0
p6.H2	NA	0
p4.F8	NA	0
p6.E11	NA	0
p8.E11	NA	0
p7.F2	NA	0
p6.B5	NA	0
p2.E10	NA	0
